folder,letter,precision,recall,f1,support
ain,ع,0.9612,0.9588,0.9600,413
al,ال,0.9276,0.9573,0.9422,281
aleff,أ,0.9233,0.8794,0.9008,315
bb,ب,0.9171,0.9198,0.9185,349
dal,د,0.9154,0.9481,0.9314,308
dha,ظ,0.8648,0.9056,0.8847,339
dhad,ض,0.9601,0.9428,0.9514,332
fa,ف,0.8152,0.8568,0.8355,412
gaaf,ق,0.7468,0.6941,0.7195,340
ghain,غ,0.9260,0.9453,0.9356,384
ha,ه,0.8266,0.8503,0.8383,314
haa,ح,0.8310,0.8859,0.8576,333
jeem,ج,0.8963,0.8288,0.8612,292
kaaf,ك,0.9156,0.8343,0.8731,338
khaa,خ,0.7188,0.8083,0.7609,313
la,لا,0.9577,0.9524,0.9551,357
laam,ل,0.9530,0.9605,0.9567,380
meem,م,0.9650,0.9539,0.9594,347
nun,ن,0.9621,0.9402,0.9510,351
ra,ر,0.9137,0.8977,0.9056,342
saad,ص,0.9125,0.9241,0.9182,395
seen,س,0.8803,0.9508,0.9142,325
sheen,ش,0.9470,0.9383,0.9426,324
ta,ت,0.9435,0.8743,0.9076,382
taa,ط,0.9515,0.8920,0.9208,352
thaa,ث,0.8264,0.9062,0.8645,352
thal,ذ,0.9385,0.9271,0.9327,329
toot,ة,0.9422,0.9209,0.9314,354
waw,و,0.9633,0.9293,0.9460,311
ya,ي,0.9657,0.9422,0.9538,329
yaa,ى,0.9799,0.9683,0.9741,252
zay,ز,0.9094,0.9129,0.9112,264
